Format Version,1.23,Take Name,Take 2024-04-22 07.22.01 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-22 07.22.01.950 PM,Capture Start Frame,1033184,Total Frames in Take,43873,Total Exported Frames,43873,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6","EE915DAF00A111EFA0BCABC55148DDB6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.008596,-0.004707,0.012241,539.987122,898.598511,264.425507
1,0.033333,-0.005260,-0.001299,0.005897,539.987305,898.596191,264.423157
2,0.066667,-0.006474,-0.002312,0.010467,539.991638,898.594666,264.425659
3,0.100000,-0.006088,-0.002965,0.005406,539.987305,898.594849,264.423218
4,0.133333,-0.021673,-0.010913,-0.036937,540.002808,898.550781,264.425903
5,0.166667,-0.007801,-0.005255,0.006903,539.988525,898.591736,264.427063
6,0.200000,-0.003649,-0.002506,0.012711,539.983215,898.596008,264.427948
7,0.233333,-0.008059,-0.000213,0.019711,539.989319,898.603699,264.426727
8,0.266667,-0.024553,-0.011043,-0.040206,540.002869,898.550415,264.423065
9,0.300000,-0.007268,-0.004503,0.008888,539.986694,898.596375,264.424072
10,0.333333,-0.004678,-0.002767,0.002201,539.991455,898.588196,264.419891
11,0.366667,-0.024264,-0.008568,-0.031375,540.002747,898.554321,264.422058
12,0.400000,-0.007604,-0.003585,0.011330,539.984009,898.599548,264.422729
13,0.433333,-0.008417,-0.005470,0.008901,539.985779,898.596313,264.422638
14,0.466667,-0.008174,-0.003245,0.010236,539.990967,898.594543,264.433563
15,0.500000,-0.024066,-0.009387,-0.024171,539.997437,898.560059,264.423065
16,0.533333,-0.005790,-0.003893,0.008660,539.987549,898.594543,264.430939
17,0.566667,-0.006582,-0.003837,0.009619,539.988770,898.599548,264.422272
18,0.600000,-0.007746,-0.004600,0.014169,539.986511,898.602722,264.428772
19,0.633333,-0.008171,-0.003936,0.006226,539.987061,898.599426,264.427124
20,0.666667,-0.008234,-0.004853,0.009899,539.992188,898.594727,264.426117
21,0.700000,-0.008641,-0.004758,0.016363,539.981445,898.598450,264.423340
22,0.733333,-0.005641,-0.005167,0.004512,539.982422,898.591370,264.423553
23,0.766667,-0.011335,-0.006148,0.011973,539.980957,898.601563,264.430237
24,0.800000,-0.006108,-0.005477,0.012585,539.985962,898.600403,264.422150
25,0.833333,-0.031332,-0.019456,0.019856,539.947205,898.657410,264.572998
26,0.866667,-0.006908,-0.004797,0.013073,539.985229,898.595154,264.424194
27,0.900000,-0.008885,-0.006211,0.007766,539.986877,898.595886,264.431366
28,0.933333,-0.007184,-0.003143,0.008668,539.990112,898.591309,264.427979
29,0.966667,-0.005513,-0.000870,0.012044,539.991150,898.594421,264.420959
30,1.000000,-0.005472,-0.004757,0.016466,539.982361,898.602661,264.425354
31,1.033333,-0.021898,-0.007176,-0.037737,540.009827,898.553833,264.413940
32,1.066667,-0.022799,-0.008973,-0.039197,540.004517,898.549866,264.413605
33,1.100000,-0.024048,-0.006084,-0.029456,540.004456,898.558105,264.419586
34,1.133333,-0.007461,-0.002517,0.013543,539.988525,898.595825,264.428925
35,1.166667,-0.004732,-0.002808,0.004186,539.988770,898.595825,264.419128
36,1.200000,-0.006839,-0.001718,0.008024,539.991699,898.596008,264.424072
37,1.233333,-0.007017,-0.001824,0.013807,539.987427,898.601196,264.422424
38,1.266667,-0.007048,-0.002270,0.007207,539.994141,898.594177,264.421356
39,1.300000,-0.006418,-0.003722,0.012696,539.983398,898.595520,264.426422
40,1.333333,-0.005774,-0.001023,0.008331,539.990601,898.594788,264.415649
41,1.366667,-0.007274,-0.002960,0.013794,539.987671,898.599915,264.418976
42,1.400000,-0.007278,-0.005098,0.007225,539.987427,898.596252,264.425232
43,1.433333,-0.009123,-0.003341,0.004936,539.989441,898.600708,264.427185
44,1.466667,-0.007597,-0.003898,0.013912,539.984009,898.597961,264.425720
45,1.500000,-0.008649,-0.004161,0.011200,539.985474,898.600159,264.423828
46,1.533333,-0.007723,-0.004193,0.016607,539.982910,898.601379,264.430878
47,1.566667,-0.007529,-0.001855,0.010854,539.990295,898.599915,264.422485
48,1.600000,-0.005760,-0.003333,0.012669,539.985657,898.598328,264.427185
49,1.633333,-0.023414,-0.009885,-0.036662,540.002014,898.555298,264.419525
50,1.666667,-0.006556,-0.004786,0.006096,539.984436,898.592102,264.425323
51,1.700000,-0.026872,-0.010193,-0.033870,540.001892,898.559021,264.425598
52,1.733333,-0.006593,-0.001584,0.004704,539.992676,898.593079,264.424255
53,1.766667,-0.007800,-0.004489,0.006562,539.988586,898.595032,264.434265
54,1.800000,-0.006715,-0.005403,0.012360,539.984619,898.598389,264.434052
55,1.833333,-0.009764,-0.003077,0.013133,539.988037,898.606323,264.428192
56,1.866667,-0.005406,-0.001847,0.008872,539.995911,898.598206,264.424164
57,1.900000,-0.027462,-0.010288,-0.035413,540.001648,898.561646,264.424622
58,1.933333,-0.009234,-0.003099,0.015416,539.990051,898.599243,264.433716
59,1.966667,-0.010689,-0.003390,0.010280,539.990051,898.603577,264.429291
60,2.000000,-0.008983,-0.003847,0.007668,539.988892,898.599731,264.426666
61,2.033333,-0.008225,-0.004304,0.009492,539.989502,898.602539,264.428131
62,2.066667,-0.008112,-0.004323,0.010128,539.989868,898.597107,264.431915
63,2.100000,-0.024937,-0.009472,-0.037832,540.009399,898.555664,264.429749
64,2.133333,-0.010032,-0.005389,0.009797,539.987610,898.598267,264.431915
65,2.166667,-0.009913,-0.006341,0.003354,539.987244,898.597168,264.432251
66,2.200000,-0.006916,-0.004001,0.009470,539.988831,898.597229,264.431732
67,2.233333,-0.006385,-0.001631,0.005862,539.991211,898.599121,264.426208
68,2.266667,-0.006848,-0.001882,0.014745,539.988586,898.598083,264.424988
69,2.300000,-0.008045,-0.006660,0.004148,539.987549,898.595337,264.433044
70,2.333333,-0.008609,-0.003750,0.007862,539.988953,898.597168,264.422028
71,2.366667,-0.006940,-0.004990,0.010192,539.990845,898.598389,264.422424
72,2.400000,-0.018504,-0.014798,0.072122,539.932983,898.718872,264.599701
73,2.433333,-0.006175,-0.001077,0.006147,539.993347,898.594604,264.427216
74,2.466667,-0.024899,-0.012665,-0.068261,540.009399,898.488647,264.426758
75,2.500000,-0.064424,0.045158,-0.032781,540.003662,898.463928,264.634674
76,2.533333,-0.053626,-0.075208,0.070770,539.728516,898.301270,264.818970
77,2.566667,-0.018264,0.083585,-0.081210,540.062500,898.064758,264.819489
78,2.600000,-0.061554,-0.110735,-0.575385,539.934143,897.444397,265.426758
79,2.633333,-0.072226,-0.194999,0.214797,539.409912,897.747803,265.319031
80,2.666667,-0.112594,0.106619,-0.072337,540.022156,897.218262,264.976227
81,2.700000,-0.234027,0.177388,-0.309206,540.187073,896.624573,264.716003
82,2.733333,-0.216942,0.092540,-0.295464,539.981628,896.176086,264.719910
83,2.766667,-0.315718,0.143421,-0.089000,540.018860,896.089478,264.763367
84,2.800000,-0.387106,0.179163,-0.426312,540.180115,895.329102,264.737976
85,2.833333,-0.399907,0.209298,-0.367937,540.201599,894.984802,264.815002
86,2.866667,-0.444824,-0.454730,-0.302698,538.947144,894.621765,265.949615
87,2.900000,-0.593269,-0.550187,-0.374408,538.773926,894.195251,266.429535
88,2.933333,-0.417373,-0.099405,-0.688757,539.624695,893.813538,266.024292
89,2.966667,-0.496374,0.310793,-0.258521,540.004944,893.919250,265.431458
90,3.000000,-0.451273,0.268047,-0.167290,539.805786,893.618896,265.461578
91,3.033333,-0.481775,0.275498,-0.152288,539.807739,893.481873,265.346161
92,3.066667,-0.613369,0.330605,-0.211808,539.915588,893.277100,265.306000
93,3.100000,-0.600395,0.339814,-0.194597,539.911682,893.147827,265.394684
94,3.133333,-0.586128,0.368782,-0.234965,539.974976,893.082764,265.524414
95,3.166667,-0.575843,0.405711,-0.234767,540.101624,893.108887,265.701050
96,3.200000,-0.570672,0.408670,-0.238370,540.106567,893.121094,265.765015
97,3.233333,-0.563549,0.408853,-0.236782,540.099854,893.114197,265.731934
98,3.266667,-0.575178,0.394966,-0.217541,540.099121,893.073181,265.633575
99,3.300000,-0.580907,0.377150,-0.223184,539.997131,893.046509,265.567017
100,3.333333,-0.554184,0.357817,-0.161092,539.892395,892.961548,265.564209
101,3.366667,-0.555343,0.359267,-0.190057,539.921082,893.004150,265.616516
102,3.400000,-0.572870,0.407323,-0.237403,540.097595,893.098267,265.715393
103,3.433333,-0.564568,0.394537,-0.225096,540.084961,893.081360,265.677887
104,3.466667,-0.576723,0.393417,-0.222885,540.097412,893.072754,265.637512
105,3.500000,-0.579790,0.391631,-0.219035,540.095032,893.062683,265.598114
