Format Version,1.23,Take Name,Take 2024-05-04 07.06.18 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-05-04 07.06.19.896 PM,Capture Start Frame,890673,Total Frames in Take,44039,Total Exported Frames,44039,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.000131,0.000613,-0.003615,539.155334,890.671631,268.275757
1,0.033333,0.000634,-0.001677,0.000235,539.153137,890.667969,268.274933
2,0.066667,-0.003804,0.000379,-0.020557,539.159424,890.685669,268.274506
3,0.100000,-0.000355,-0.001378,-0.000055,539.154846,890.671082,268.277100
4,0.133333,-0.001318,-0.000844,-0.023495,539.156616,890.681519,268.269653
5,0.166667,-0.000787,-0.004588,0.007153,539.149841,890.680054,268.290924
6,0.200000,-0.004487,-0.002103,0.002956,539.143005,890.691101,268.291779
7,0.233333,0.000941,0.000855,0.001522,539.153259,890.675842,268.281891
8,0.266667,-0.001316,-0.003060,0.001057,539.152771,890.679688,268.290497
9,0.300000,0.000329,0.001232,-0.003046,539.157166,890.675476,268.271088
10,0.333333,0.002151,0.002812,-0.003550,539.154297,890.668152,268.264221
11,0.366667,0.005742,-0.000875,0.001043,539.163269,890.652649,268.262665
12,0.400000,0.002073,-0.000199,-0.001621,539.150513,890.668518,268.265076
13,0.433333,-0.005015,-0.005899,0.004217,539.141418,890.688843,268.292023
14,0.466667,0.008308,0.000972,0.003795,539.155273,890.656494,268.261353
15,0.500000,0.001579,-0.001506,-0.005090,539.158264,890.668396,268.279541
16,0.533333,0.000685,-0.001416,-0.002127,539.153992,890.671570,268.279388
17,0.566667,0.004501,0.001873,-0.014103,539.163513,890.663330,268.264832
18,0.600000,0.001002,-0.000236,-0.002888,539.156250,890.674561,268.279327
19,0.633333,-0.000734,0.000435,-0.002821,539.155273,890.672974,268.272003
20,0.666667,0.000072,0.001302,-0.002994,539.149780,890.672668,268.271179
21,0.700000,-0.001287,-0.005302,0.002781,539.149292,890.680054,268.290222
22,0.733333,-0.001927,-0.003835,-0.003225,539.149780,890.681274,268.289063
23,0.766667,-0.006841,-0.005156,0.003238,539.140259,890.686462,268.292786
24,0.800000,-0.005584,0.000770,-0.021996,539.155396,890.690491,268.273254
25,0.833333,0.008748,0.000963,0.007840,539.157837,890.657837,268.265167
26,0.866667,-0.000949,-0.002098,0.005300,539.147339,890.679688,268.278992
27,0.900000,-0.000970,-0.001330,-0.005990,539.150940,890.673401,268.283997
28,0.933333,-0.004078,0.000264,-0.018561,539.160339,890.692444,268.278778
29,0.966667,-0.004754,-0.003402,0.000338,539.144653,890.687805,268.296143
30,1.000000,-0.003877,-0.003295,0.003135,539.147522,890.684204,268.287567
31,1.033333,0.007558,-0.000214,0.005741,539.159485,890.654480,268.274414
32,1.066667,-0.001135,-0.000480,-0.000114,539.151550,890.683167,268.283081
33,1.100000,-0.002191,-0.004687,0.002462,539.145508,890.682434,268.292877
34,1.133333,-0.001562,-0.003126,0.000796,539.153259,890.681396,268.286713
