Format Version,1.23,Take Name,Take 2024-04-26 02.52.27 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-26 02.52.28.483 PM,Capture Start Frame,350553,Total Frames in Take,44143,Total Exported Frames,44143,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"7FD4EECF03BF11EFA0BCABC55148E0B6","7FD4EECF03BF11EFA0BCABC55148E0B6","7FD4EECF03BF11EFA0BCABC55148E0B6","7FD4EECF03BF11EFA0BCABC55148E0B6","7FD4EECF03BF11EFA0BCABC55148E0B6","7FD4EECF03BF11EFA0BCABC55148E0B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.049409,-0.026522,-0.065776,539.155762,890.178711,268.360779
1,0.033333,0.061962,-0.082387,-0.041993,539.022522,890.154785,268.369934
2,0.066667,0.050712,-0.023733,-0.064781,539.156311,890.174011,268.350494
3,0.100000,0.065997,-0.086258,-0.038304,539.018738,890.156311,268.361847
4,0.133333,0.056011,-0.026697,-0.060494,539.156738,890.175476,268.353851
5,0.166667,0.014166,-0.061120,0.025689,539.027039,890.057434,268.493134
6,0.200000,0.013469,-0.061549,0.029548,539.020203,890.071411,268.496948
7,0.233333,0.067456,-0.085562,-0.037933,539.020020,890.154480,268.367889
8,0.266667,0.064779,-0.085955,-0.033134,539.013916,890.166687,268.361633
9,0.300000,0.016336,-0.060405,0.018863,539.024780,890.054443,268.494568
10,0.333333,0.064557,-0.085522,-0.034626,539.021362,890.166931,268.367493
11,0.366667,0.015872,-0.062302,0.025913,539.023438,890.054321,268.500000
12,0.400000,0.052228,-0.025906,-0.057508,539.155762,890.179810,268.355743
13,0.433333,0.002205,-0.004778,0.003079,539.161255,890.068359,268.503448
14,0.466667,0.062140,-0.086769,-0.029691,539.017395,890.174194,268.374725
15,0.500000,0.065202,-0.083723,-0.039504,539.026123,890.158203,268.372742
16,0.533333,0.059422,-0.082155,-0.035481,539.020386,890.170410,268.373749
17,0.566667,0.001775,-0.002660,0.007278,539.161987,890.072632,268.511139
18,0.600000,0.010545,-0.059058,0.031886,539.024475,890.068420,268.500336
19,0.633333,0.063240,-0.080692,-0.043232,539.021851,890.158325,268.363312
20,0.666667,0.065110,-0.083157,-0.037348,539.016968,890.170654,268.372711
21,0.700000,0.012633,-0.060769,0.021532,539.021484,890.067017,268.515900
22,0.733333,0.060588,-0.087070,-0.035282,539.017395,890.169006,268.374451
23,0.766667,-0.000504,-0.001077,0.005291,539.159912,890.082764,268.498779
24,0.800000,0.001875,0.000628,0.003116,539.162964,890.070557,268.491760
25,0.833333,0.062329,-0.083606,-0.038761,539.016907,890.164490,268.363403
26,0.866667,0.064174,-0.081512,-0.040335,539.024719,890.158752,268.370270
27,0.900000,0.048948,-0.026394,-0.056795,539.158264,890.188660,268.365112
28,0.933333,0.003639,-0.002359,0.001063,539.159058,890.070251,268.508087
29,0.966667,0.009343,-0.061022,0.023584,539.019104,890.071289,268.491150
30,1.000000,0.003986,0.000843,-0.004266,539.168762,890.058716,268.500793
31,1.033333,-0.002503,-0.001193,0.010898,539.152039,890.091736,268.496094
32,1.066667,0.055281,-0.025955,-0.065552,539.156372,890.164734,268.367615
33,1.100000,0.051709,-0.024885,-0.056816,539.155334,890.187622,268.358643
34,1.133333,0.055575,-0.026296,-0.068119,539.156616,890.166809,268.370575
35,1.166667,0.061135,-0.081686,-0.034675,539.015808,890.169556,268.360901
36,1.200000,0.055215,-0.026223,-0.068919,539.156982,890.168579,268.361389
37,1.233333,0.010026,-0.061524,0.033346,539.020508,890.077576,268.506317
