Format Version,1.23,Take Name,Take 2024-04-28 07.33.03 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-28 07.33.03.876 PM,Capture Start Frame,898052,Total Frames in Take,17925,Total Exported Frames,17925,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.040743,0.115821,-0.146349,539.195374,890.592712,267.804443
1,0.033333,0.040348,0.113239,-0.136631,539.189941,890.600098,267.822906
2,0.066667,0.040760,0.117175,-0.144997,539.192505,890.602539,267.847290
3,0.100000,0.034787,0.114756,-0.138269,539.196411,890.602661,267.824799
4,0.133333,0.035896,0.112148,-0.137074,539.193604,890.594299,267.818329
5,0.166667,0.009242,0.092736,-0.106924,539.219971,890.584839,267.902893
6,0.200000,0.034604,0.113574,-0.140970,539.194214,890.596619,267.818726
7,0.233333,0.011264,0.093666,-0.116668,539.231689,890.585571,267.922821
8,0.266667,0.008958,0.093431,-0.113821,539.227051,890.585022,267.912781
9,0.300000,0.040367,0.111243,-0.140798,539.190369,890.592224,267.840790
10,0.333333,0.038809,0.113191,-0.141185,539.191406,890.601074,267.811340
11,0.366667,0.039339,0.113564,-0.143504,539.194702,890.587646,267.807220
12,0.400000,0.035304,0.110646,-0.131403,539.193726,890.612366,267.848694
13,0.433333,0.038516,0.114424,-0.137959,539.190918,890.594788,267.837067
14,0.466667,0.039331,0.114345,-0.143260,539.202209,890.599915,267.824402
15,0.500000,0.009549,0.091144,-0.111616,539.222595,890.592468,267.938995
16,0.533333,0.038942,0.113971,-0.139130,539.186340,890.599670,267.812653
17,0.566667,0.035398,0.117599,-0.140923,539.202087,890.601990,267.839081
18,0.600000,0.044136,0.110319,-0.140866,539.187866,890.596375,267.831421
19,0.633333,0.040132,0.113397,-0.146348,539.185974,890.598206,267.831573
20,0.666667,0.036467,0.115971,-0.140171,539.191772,890.597412,267.815735
21,0.700000,0.038785,0.115136,-0.143410,539.195679,890.598511,267.834015
22,0.733333,0.038948,0.113975,-0.137559,539.186951,890.593323,267.811157
23,0.766667,0.034360,0.115334,-0.139528,539.189636,890.600647,267.826996
24,0.800000,0.042783,0.116642,-0.151501,539.193298,890.593445,267.820465
25,0.833333,0.041544,0.112451,-0.143935,539.190918,890.599487,267.830017
26,0.866667,0.039465,0.113632,-0.143199,539.183899,890.591064,267.823914
27,0.900000,0.035132,0.116679,-0.141897,539.195313,890.608276,267.827179
28,0.933333,0.037669,0.115205,-0.139553,539.192078,890.592529,267.826752
29,0.966667,0.036943,0.113520,-0.142291,539.189880,890.611877,267.845917
30,1.000000,0.038457,0.114645,-0.146557,539.186035,890.591003,267.815308
31,1.033333,0.010937,0.092422,-0.116560,539.214844,890.586548,267.900452
32,1.066667,0.015539,0.093717,-0.119840,539.215820,890.573914,267.889038
