Format Version,1.23,Take Name,Take 2024-05-04 03.28.36 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-05-04 03.28.36.767 PM,Capture Start Frame,498774,Total Frames in Take,23126,Total Exported Frames,23126,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.001287,0.001419,0.016771,538.620300,890.824707,267.870728
1,0.033333,-0.003721,0.006131,0.012375,538.624817,890.816345,267.861328
2,0.066667,-0.005290,0.000464,-0.002303,538.624756,890.829529,267.864227
3,0.100000,-0.006138,0.002288,0.001035,538.631897,890.833374,267.870789
4,0.133333,-0.005741,-0.000357,-0.000452,538.623413,890.837585,267.874725
5,0.166667,-0.005243,0.002328,-0.002122,538.627136,890.834534,267.869354
6,0.200000,-0.001289,0.002442,0.013857,538.624756,890.822266,267.861969
7,0.233333,-0.003874,0.005351,0.000210,538.629700,890.834717,267.860992
8,0.266667,-0.002565,0.003260,0.012113,538.623779,890.820801,267.868530
9,0.300000,-0.002187,0.001222,0.016350,538.622253,890.822510,267.864563
10,0.333333,-0.002121,0.003437,0.014027,538.624084,890.818726,267.857239
11,0.366667,-0.008202,-0.000666,0.002574,538.627441,890.833008,267.875427
12,0.400000,-0.004452,0.001057,0.019722,538.624512,890.826599,267.874817
13,0.433333,-0.002168,0.003574,0.013327,538.625610,890.822449,267.862335
14,0.466667,-0.001437,0.004439,0.014612,538.626099,890.821289,267.863281
15,0.500000,-0.003788,0.003749,0.012483,538.622925,890.823059,267.872070
16,0.533333,-0.007386,0.001842,-0.001255,538.627686,890.838318,267.862610
17,0.566667,-0.001997,0.002558,0.016976,538.626709,890.824646,267.877380
18,0.600000,-0.009188,0.000706,-0.002543,538.625549,890.838745,267.867706
19,0.633333,-0.003130,0.001866,-0.000041,538.628906,890.833496,267.865204
20,0.666667,-0.004732,0.002382,0.016187,538.623230,890.827026,267.867523
21,0.700000,-0.001555,0.004688,0.014203,538.623108,890.820801,267.868134
22,0.733333,-0.005401,0.000594,0.001166,538.626770,890.836609,267.865509
23,0.766667,-0.000926,0.004741,0.013694,538.623474,890.814880,267.858246
24,0.800000,-0.005922,0.004241,-0.004107,538.627197,890.834900,267.859680
25,0.833333,-0.000325,0.003404,0.014574,538.620239,890.822205,267.863586
26,0.866667,-0.007181,0.003494,0.002515,538.623962,890.830383,267.856567
27,0.900000,-0.000112,0.002881,0.012112,538.621582,890.817810,267.865723
28,0.933333,-0.006478,0.000426,-0.000254,538.626160,890.838257,267.867004
29,0.966667,-0.003150,0.002296,0.012384,538.622375,890.822937,267.867371
30,1.000000,-0.006064,-0.002821,0.000935,538.622620,890.839966,267.883057
31,1.033333,-0.004338,0.000142,0.018195,538.623169,890.825989,267.874115
32,1.066667,-0.004677,0.001123,0.014290,538.620178,890.828613,267.876312
33,1.100000,-0.002119,0.003225,0.015810,538.618652,890.826111,267.868622
34,1.133333,-0.007385,0.002025,-0.003332,538.630066,890.841064,267.875793
