Format Version,1.23,Take Name,Take 2024-04-28 08.34.16 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-28 08.34.17.016 PM,Capture Start Frame,1008213,Total Frames in Take,23137,Total Exported Frames,23137,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,0.007933,-0.004924,0.006708,539.288574,890.727600,268.192657
1,0.033333,0.004003,-0.006395,0.008323,539.284485,890.737305,268.209564
2,0.066667,0.004551,-0.004295,0.008893,539.287537,890.720825,268.228699
3,0.100000,0.002978,-0.010519,0.014035,539.283142,890.740906,268.221649
4,0.133333,-0.000218,-0.006886,0.009710,539.285645,890.723267,268.228302
5,0.166667,0.011921,-0.004427,0.007339,539.284119,890.735718,268.209015
6,0.200000,-0.004266,-0.008529,0.009321,539.281860,890.722351,268.221039
7,0.233333,0.000798,-0.007876,0.014426,539.281006,890.720520,268.233093
8,0.266667,0.005287,-0.007165,0.008156,539.276917,890.739746,268.209412
9,0.300000,0.000886,-0.019721,-0.091647,539.182434,890.687378,268.243439
10,0.333333,-0.002348,-0.007666,0.008460,539.283508,890.717773,268.208435
11,0.366667,-0.000786,-0.006463,0.014924,539.274597,890.722778,268.233337
12,0.400000,-0.001206,-0.008889,0.009202,539.277832,890.715271,268.210297
13,0.433333,0.009216,-0.018168,-0.082017,539.182434,890.706787,268.211060
14,0.466667,0.004954,-0.018319,-0.098061,539.178772,890.685730,268.245300
15,0.500000,0.000418,-0.002983,0.006446,539.280884,890.712158,268.203247
16,0.533333,-0.001724,-0.020441,-0.090145,539.177612,890.690552,268.244324
17,0.566667,0.000274,-0.007006,0.012694,539.285034,890.717896,268.212921
18,0.600000,-0.000074,-0.008124,0.004908,539.275818,890.716736,268.202911
19,0.633333,0.001013,-0.006252,0.003187,539.280090,890.717529,268.214325
20,0.666667,-0.006096,-0.008478,0.010484,539.278809,890.720703,268.214539
21,0.700000,-0.002170,-0.005650,0.005266,539.274353,890.722595,268.212646
22,0.733333,-0.003782,-0.007530,0.008502,539.276489,890.722839,268.216187
23,0.766667,0.003732,-0.017330,-0.084259,539.176453,890.713013,268.215912
24,0.800000,-0.001290,-0.021676,-0.095221,539.175415,890.698792,268.253479
25,0.833333,-0.001408,-0.022268,-0.094093,539.178101,890.694336,268.254425
26,0.866667,-0.003431,-0.007438,0.009295,539.282166,890.721436,268.226227
27,0.900000,0.000591,-0.021787,-0.084669,539.175720,890.698547,268.262604
28,0.933333,0.006008,-0.017511,-0.079111,539.181396,890.710388,268.211243
29,0.966667,-0.004112,-0.018810,-0.091897,539.179871,890.691956,268.239624
30,1.000000,0.006714,-0.008308,0.012673,539.275757,890.720703,268.228607
31,1.033333,0.003445,-0.016303,-0.086632,539.181335,890.704285,268.204956
