Format Version,1.23,Take Name,Take 2024-04-28 07.21.25 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-04-28 07.21.26.203 PM,Capture Start Frame,877121,Total Frames in Take,9595,Total Exported Frames,9595,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6","9B0DB8CE057E11EFA0BCABC55148E1B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.020232,0.025587,0.010228,539.174194,890.706116,268.036194
1,0.033333,-0.031514,0.024437,0.004930,539.173157,890.699341,268.042053
2,0.066667,-0.027733,0.022446,0.010041,539.170288,890.705383,268.076111
3,0.100000,-0.026154,0.023413,0.008939,539.172546,890.700134,268.053223
4,0.133333,-0.024526,0.019400,0.013796,539.169373,890.710327,268.043060
5,0.166667,-0.026911,0.019884,0.017809,539.171509,890.721741,268.047943
6,0.200000,-0.020899,0.022948,0.001905,539.173523,890.706360,268.030579
7,0.233333,-0.032128,0.021591,0.007643,539.171936,890.699585,268.050446
8,0.266667,-0.029278,0.022921,0.005536,539.169434,890.701660,268.055542
9,0.300000,-0.026441,0.026084,0.002644,539.179504,890.705261,268.059906
10,0.333333,-0.028158,0.026265,0.001537,539.174255,890.694275,268.044525
11,0.366667,-0.013529,0.044070,-0.039794,539.169983,890.685547,267.964294
12,0.400000,-0.029164,0.027133,0.000684,539.175415,890.697510,268.037354
13,0.433333,-0.022972,0.023530,0.007623,539.174438,890.714355,268.039948
14,0.466667,-0.013947,0.049201,-0.047016,539.175720,890.677612,267.958679
15,0.500000,-0.024628,0.022877,0.006146,539.179504,890.708374,268.033386
16,0.533333,-0.023377,0.020470,0.014033,539.179810,890.719421,268.039032
17,0.566667,-0.013313,0.047238,-0.048034,539.171692,890.668884,267.999237
18,0.600000,-0.033075,0.022845,0.015114,539.172180,890.707764,268.066345
19,0.633333,-0.018195,0.024005,0.003550,539.176453,890.715881,268.041962
20,0.666667,-0.024707,0.025055,0.010595,539.171204,890.716919,268.031250
21,0.700000,-0.021257,0.025370,0.003728,539.172180,890.705017,268.021729
22,0.733333,-0.023721,0.019238,0.014030,539.172668,890.716797,268.038483
23,0.766667,-0.013806,0.048294,-0.047933,539.168640,890.679138,267.954376
24,0.800000,-0.022895,0.024720,0.005833,539.166870,890.695313,268.048492
25,0.833333,-0.030022,0.023586,0.001456,539.174194,890.700867,268.049469
26,0.866667,-0.032709,0.025985,0.004580,539.172852,890.701111,268.044159
27,0.900000,-0.025953,0.025092,0.008541,539.171143,890.700073,268.052399
28,0.933333,-0.017049,0.021663,0.009213,539.161804,890.711365,268.044647
29,0.966667,-0.022832,0.023331,0.011501,539.174377,890.709351,268.031586
30,1.000000,-0.029873,0.023526,0.006926,539.159119,890.699707,268.058197
31,1.033333,-0.028137,0.021928,0.010417,539.165771,890.705078,268.056915
