Format Version,1.23,Take Name,Take 2024-05-04 05.10.00 PM,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2024-05-04 05.10.00.788 PM,Capture Start Frame,681297,Total Frames in Take,9339,Total Exported Frames,9339,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6","97A072280A1311EFA0BCABC55148E6B6"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,-0.006472,-0.004486,-0.000891,539.150269,890.952759,268.475220
1,0.033333,-0.002760,0.002504,-0.003658,539.155273,890.948120,268.457245
2,0.066667,0.003879,0.019581,-0.046471,539.192444,890.908936,268.416748
3,0.100000,-0.004307,-0.002724,0.004450,539.146667,890.963745,268.470825
4,0.133333,-0.005469,-0.005552,-0.004046,539.142761,890.954651,268.478302
5,0.166667,0.006081,0.021250,-0.039998,539.192993,890.911255,268.411682
6,0.200000,-0.003982,-0.002213,-0.000504,539.146606,890.950317,268.465820
7,0.233333,0.004174,0.019615,-0.038585,539.192078,890.912659,268.415527
8,0.266667,-0.000398,-0.001480,-0.000738,539.152710,890.953186,268.462280
9,0.300000,0.004766,0.020021,-0.042016,539.193848,890.912476,268.409241
10,0.333333,-0.005935,-0.005931,0.004138,539.148926,890.954346,268.477295
11,0.366667,0.003568,0.017060,-0.039043,539.165527,890.925049,268.415283
12,0.400000,-0.005000,-0.002747,-0.001707,539.150208,890.949585,268.468475
13,0.433333,0.004195,0.019007,-0.038902,539.189697,890.905396,268.412476
14,0.466667,0.002590,0.019814,-0.043066,539.197571,890.905579,268.418365
15,0.500000,-0.003265,-0.007310,-0.002244,539.150635,890.956726,268.476166
16,0.533333,-0.004048,-0.004900,0.004332,539.148254,890.961243,268.474670
17,0.566667,0.005833,0.021198,-0.039703,539.190796,890.909058,268.407837
18,0.600000,-0.005627,-0.003930,-0.002315,539.150330,890.951843,268.469971
19,0.633333,0.002230,0.017759,-0.043673,539.193298,890.912354,268.417236
20,0.666667,-0.003879,-0.005535,0.001632,539.143250,890.957214,268.469879
21,0.700000,-0.006223,-0.001489,-0.004225,539.149353,890.953674,268.472443
22,0.733333,-0.003995,-0.003522,-0.003293,539.146606,890.960205,268.464386
23,0.766667,0.001798,0.017852,-0.045616,539.190979,890.904724,268.412933
24,0.800000,0.003848,0.020956,-0.037601,539.186279,890.916321,268.409729
25,0.833333,-0.002900,-0.003516,-0.006124,539.150635,890.951904,268.465668
26,0.866667,-0.004823,-0.001938,0.000023,539.155823,890.950256,268.474670
27,0.900000,0.002012,0.020318,-0.049581,539.190308,890.906006,268.412506
28,0.933333,-0.005617,-0.004077,-0.002146,539.148743,890.951843,268.460175
29,0.966667,0.004116,0.021483,-0.039792,539.195190,890.907288,268.410828
30,1.000000,-0.002676,-0.004022,-0.000852,539.147644,890.953857,268.461517
31,1.033333,0.003157,0.016985,-0.038292,539.184265,890.908752,268.411926
32,1.066667,-0.002800,-0.002888,-0.000512,539.148010,890.958069,268.470612
33,1.100000,-0.003515,-0.002337,0.001071,539.145630,890.961487,268.467438
34,1.133333,0.002493,0.019147,-0.037518,539.189453,890.911560,268.419525
